,sum_sq,df,F,PR(>F)
"Q(""Water Li mg/L"")",0.37311846335121424,1.0,1.4045963815873073,0.2571687851939736
"Q(""Water Ca mg/L"")",0.01340654461801775,1.0,0.05046864711792943,0.8257423048365098
"Q(""Water Ni mg/L"")",0.27131360473800653,1.0,1.021354194235354,0.33063923383405014
"Q(""Water Cu mg/L"")",0.020826475909751913,1.0,0.07840081790998714,0.7838822139188709
"Q(""Water Zn mg/L"")",0.14209978904684586,1.0,0.534931581050289,0.4775182691050295
"Q(""Water As mg/L"")",0.262755895154699,1.0,0.9891388816844058,0.33810525612561987
"Q(""Water Pb mg/L"")",0.3273303805944633,1.0,1.2322281348318138,0.2870856641028961
"Q(""Water U mg/L"")",0.0005243660629336955,1.0,0.0019739646974547232,0.96523739833632
Residual,3.4533337029419684,13.0,,
