Teams,Site code,Easting GDA94,Southing GDA94,Road prox m,Vis Turbidity,pH,EC ms,EC us,TDS ppt,TDS ppm,Temperature,TSS ( on filter),microplastics ( week 13),microplastics ( week 13),NU Total phosphorus mg/L,NU Total nitrogen mg/L,NF Total phosphorus mg/L,NF Total nitrogen mg/L,NFB Total phosphorus mg/L,NFB Total nitrogen mg/L,Soil/sed Li mg/kg,Soil/sed Na mg/kg, Soil/sed Mg mg/kg,Soil/sed Al mg/kg,Soil/sed K mg/kg,Soil/sed Ca mg/kg,Soil/sed Cr mg/kg,Soil/sed Mn mg/kg,Soil/sed Fe mg/kg,Soil/sed Co mg/kg,Soil/sed Ni mg/kg,Soil/sed Cu mg/kg,Soil/sed Zn mg/kg,Soil/sed As mg/kg,Soil/sed Rb mg/kg,Soil/sed Sr mg/kg,Soil/sed Ag mg/kg,Soil/sed Cd mg/kg,Soil/sed Ba mg/kg,Soil/sed Tl mg/kg,Soil/sed Pb mg/kg,Soil/sed U mg/kg,Water Li mg/L,Water Na mg/L,Water Mg mg/L,Water Al mg/L,Water K mg/L,Water Ca mg/L,Cr mg/L,Water Mn mg/L,Water Fe mg/L,Water Co mg/L,Water Ni mg/L,Water Cu mg/L,Water Zn mg/L,Water As mg/L,Water Rb mg/L,Water Sr mg/L,Water Ag mg/L,Water Cd mg/L,Water Ba mg/L,Water Tl mg/L,Water Pb mg/L,Water U mg/L,Genetic Diversity (shannon),Species Richness
Team 3,ETT24.12,698276,6089467,150,<10,7.71,0.21,209,104,0.1,23.3,-0.004,,,0.0392,0.68,0.026,0.06183,0.00866,0.058394,2.6685,59.4805,2602.282,5129.726,1344.3615,1822.432,11.9875,245.765,13240.1955,5.813,7.4835,9.5195,179.498,2.951,15.0295,10.934,0.086,0.4005,44.886,0.03067,16.787,1.190005,,,,,,,,,,,,,,,,,,,,,,,,
Team 3,ETT24.13,698614,6091947,5,<10,7.92,0.94,938,46.8,0.47,21,0.04,,,0.0276,0.446,0.024433,0.0491,0.0111,0.13674,0.868,65.3,869.29,3084.286,543.445,1490.252,6.665,478.061,7660.659,6.256,3.173,5.234,9.171,2.378,8.2,9.951,0.062,0.02422,58.219,0.0044,11.1994,0.94025,,,,,,,,,,,,,,,,,,,,,,,1.51867,5
Team 3,ETT24.14,697042,6090985,40,14.5,8.02,0.23,232,116,0.12,22.8,0.04,,,0.0389,0.681,0.02695,0.6825,0.0116,0.10406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.975959,6
Team 3,ETT24.15,693560,6092631,50,15,8.1,0.21,211,106,0..106,20.4,-0.0069,,,0.0524,0.7,0.027433,0.593,0.0115,0.10148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.120901,6
Team 3,ETT24.16,692345,6093811,15,12,7.15,0.27,272,136,0.11,19,0.03,,,0.0907,0.759,0.065067,0.6257,0.0119,0.0946,1.389667,80.604333,1952.586,3561.977,1229.786,10915.10233,7.344667,405.881333,7320.121667,3.696,6.044667,12.152333,42.393667,1.924333,16.969667,23.719667,0.103,0.143933,36.529667,0.003143,12.598233,0.451363,,,,,,,,,,,,,,,,,,,,,,,1.013293,5
Team 4 ,ETT24.17,692651,6091683,50,5,8.25,0.23,234,117,0.12,24.4,0.35,,,0.0647,0.814,0.03115,0.578,0.0647,0.814,1.741,69.772,1958,3652.197,677.233,741.837,10.937,272.391,10996.716,5.171,7.029,6.627,69.782,2.719,10.13,6.363,0.048,0.05766,29.968,0.00186,20.075,0.48546,,,,,,,,,,,,,,,,,,,,,,,1.279542,7
Team 4 ,ETT24.18,690541,6093059,50,10,8.27,0.25,252,128,0.13,24.5,0.38,,,0.0438,0.704,0.0269,0.5645,0.0438,0.704,0.927,59.345,1299.896,2307.793,532.036,1428.222,7.411,267.845,6018.966,3.324,7.013,3.748,16.874,1.875,6.324,8.134,0.038,0.06732,31.46,0.00198,7.7893,0.92466,,,,,,,,,,,,,,,,,,,,,,,1.425111,10
Team 4 ,ETT24.19,688350,6091631,100,10,8.01,0.25,250,128,0.13,23.1,0.35,,,0.0609,0.768,0.0421,0.659,0.0609,0.768,1.829,134.911,2062.365,4214.377,683.354,1867.732,11.686,890.033,13227.134,6.607,8.784,18.64,150.032,4.56,9.851,10.983,0.11,0.10968,71.19,0.01301,26.8793,0.89976,,,,,,,,,,,,,,,,,,,,,,,1.20792,4
Team 4 ,ETT24.20,685159,6090729,300,10,8.98,0.25,245,122,0.12,21.1,0.35,,,0.0637,0.724,0.0429,0.608,0.0637,0.724,1.322,58.559,1480.338,2953.947,594.57,1229.279,7.691,281.609,8133.129,4.699,4.991,8.488,95.908,2.626,8.253,9.519,0.173,0.14335,38.552,0.00199,21.0429,1.04528,,,,,,,,,,,,,,,,,,,,,,,1.909552,9
Team 4 ,ETT24.21,685493,6093225,50,10,8.01,0.26,260,NAN,NAN,21.9,0.35,,,0.0565,0.687,0.045,0.645,0.0565,0.687,1.294,52.694,1340.008,2638.162,503.116,1514.751,8.183,358.377,8186.418,5.174,6.182,9.471,124.763,2.614,6.962,9.188,0.217,0.14264,37.691,0.00195,23.8681,1.0239,,,,,,,,,,,,,,,,,,,,,,,1.508133,7
Team 4 ,ETT24.22,678442,6097940,300,15,8.47,0.39,385,169,0.17,22.5,0.36,,,0.0622,2.9,0.04425,2.6895,0.0622,2.9,1.920667,48.332,1734.781,3371.708,655.140667,1527.591,9.769,383.331,10454.98133,6.533333,6.194667,9.016,131.649667,3.241,7.783667,8.846667,0.171667,0.123267,42.119,0.002127,21.263267,1.089607,,,,,,,,,,,,,,,,,,,,,,,1.889716,12
Team 5,ETT24.01,724709,6054012,1,5,6.98,0.05,54,27,0.03,17,0.102,,,0.0321,0.247,0.0196,0.252,0.01,0.061404,3.458,91.925,1823.05,6424.047,583.168,1101.686,13.373,381.147,18384.066,12.049,13.138,49.828,94.932,6.961,11.922,9.201,0.168,0.46494,78.123,0.02435,24.2344,1.48781,0.001,2.594667,2.163,0.217333,0.009,7.647333,0.001667,0.022333,0.263333,0.001,0.002,0.001,0.586667,0.002667,0.000333,0.011333,0.001,0.00009,0.004667,0.00007,0.0004,0.000253,0.688942,3
Team 5,ETT24.02,721799,6057315,200,5,7.34,0.08,78,38,0.04,24.7,0.101,,,0.0288,0.328,0.0212,0.2805,0.0103,0.11954,1.18,55.887,744.403,3289.567,662.963,501.691,1.234,163.212,5371.861,1.296,0.941,14.754,50.583,2.644,11.444,4.694,0.112,0.24473,38.098,0.0321,49.813,0.22868,0.001,3.521,2.781,0.244,0.241,9.528,0.002,0.006,0.361,0,0.002,0,0.605,0,0.001,0.017,0.001,0.0001,0.007,0.00007,0.0005,0.00005,0.990964,4
Team 5,ETT24.03,721501,6058016,1,5,2.26,4,3999,200,0.2,21.9,0.102,,,0.017,0.278,0.02,0.266,0.00661,0.12212,1.774,83.612,1668.35,5297.442,486.436,968.618,10.738,488.648,23634.122,9.01,9.522,94.246,580.176,39.282,8.332,8.572,1.906,0.848,154.428,0.136,459.26,1.392,0.001,3.266,3.436,0.236,0.234,8.981,0.002,0.088,0.528,0.001,0.002,0.006,0.902,0,0.001,0.018,0.001,0.00034,0.01,0.00006,0.0029,0.00004,0.538416,2
