,sum_sq,df,F,PR(>F)
"Q(""Soil/sed Li mg/kg"")",0.19941243088432284,1.0,1.5640969675809941,0.23953704916130625
"Q(""Soil/sed Ca mg/kg"")",0.018647009134392094,1.0,0.14625833661531623,0.7101394010877289
"Q(""Soil/sed Ni mg/kg"")",0.3620729414372509,1.0,2.839929222234144,0.12284918838178788
"Q(""Soil/sed Cu mg/kg"")",0.2642077576834459,1.0,2.0723209218775938,0.18055271569880846
"Q(""Soil/sed Zn mg/kg"")",0.16875758983832184,1.0,1.3236548662079801,0.27670560248976733
"Q(""Soil/sed As mg/kg"")",0.007734351124795124,1.0,0.06066459892621346,0.8104306192699947
"Q(""Soil/sed Pb mg/kg"")",0.09371907792657143,1.0,0.735088203575785,0.411315364044929
"Q(""Soil/sed U mg/kg"")",0.11132140714681919,1.0,0.8731525641257185,0.3720982633449588
Residual,1.2749364970173858,10.0,,
