Type,Team ,Site,blank,ICPMS Sample Name,Li_mg/l or mg/kg,Na_mg/l or mg/kg,Mg_mg/l or mg/kg,Al_mg/l or mg/kg,K _mg/l or mg/kg,Ca_mg/l or mg/kg,Cr_mg/l or mg/kg,Mn_mg/l or mg/kg,Fe_mg/l or mg/kg,Co_mg/l or mg/kg,Ni_mg/l or mg/kg,Cu_mg/l or mg/kg,Zn_mg/l or mg/kg,As_mg/l or mg/kg,Rb_mg/l or mg/kg,Sr_mg/l or mg/kg,Ag_mg/l or mg/kg,Cd_mg/l or mg/kg,Ba_mg/l or mg/kg,Tl_mg/l or mg/kg,Pb_mg/l or mg/kg,U _mg/l or mg/kg
Water,8,17,no,T8S17T,0.001,14.164,8.241,0.405,2.459,13.115,0.002,0.011,0.181,0.000,0.002,0.004,0.002,0.000,0.002,0.078,0.001,0.00010,0.015,0.00008,0.0007,0.00040
Water,8,17,no,T8S17,0.001,13.998,8.341,0.101,2.423,13.575,0.000,0.012,0.243,0.000,0.001,0.002,0.002,0.000,0.002,0.076,0.001,0.00010,0.014,0.00008,0.0005,0.00030
Water,8,17,no,T8S17D,0.001,14.362,8.324,0.368,2.550,13.093,0.003,0.011,0.205,0.000,0.002,0.003,0.002,0.000,0.002,0.076,0.001,0.00010,0.015,0.00008,0.0006,0.00030
Water,8,18,no,T8S18,0.001,14.173,8.148,0.435,2.546,12.810,0.002,0.008,0.237,0.000,0.002,0.003,0.002,0.000,0.002,0.074,0.001,0.00010,0.016,0.00008,0.0006,0.00035
Water,8,19,no,T8S19,0.001,13.646,8.177,0.103,2.494,13.327,0.000,0.184,0.333,0.000,0.001,0.001,0.002,0.000,0.002,0.074,0.001,0.00010,0.009,0.00008,0.0006,0.00025
Water,8,20,no,T8S20,0.001,14.519,8.360,0.466,2.623,13.787,0.003,0.068,0.346,0.000,0.002,0.004,0.002,0.000,0.002,0.077,0.001,0.00010,0.015,0.00008,0.0007,0.00035
Water,8,21,no,T8S21,0.001,13.889,8.240,0.123,2.431,13.788,0.003,0.017,0.281,0.000,0.002,0.001,0.002,0.000,0.002,0.076,0.001,0.00010,0.019,0.00008,0.0006,0.00030
Water,8,22,no,T8S22,0.001,18.885,8.291,0.432,4.777,21.891,0.002,0.007,0.255,0.000,0.002,0.003,0.002,0.000,0.004,0.080,0.001,0.00010,0.022,0.00008,0.0006,0.00035
Water,5,5,no,T5S99,0.072,56.281,618.740,67.098,0.292,285.435,0.014,53.038,426.885,0.600,0.190,0.724,222.399,0.003,0.004,0.754,0.001,0.09341,0.002,0.00006,0.0190,0.02281
Water,7,15,no,T7S15D,0.000,13.644,8.096,0.091,2.580,14.843,0.001,0.021,0.311,0.000,0.001,0.003,0.000,0.001,0.002,0.078,0.000,0.00002,0.014,0.00002,0.0008,0.00032
Water,5,0,yes,T5S4BLK,0.001,0.184,0.049,0.211,0.010,7.142,0.003,0.001,0.043,0.000,0.003,0.000,0.605,0.002,0.000,0.003,0.001,0.00010,0.000,0.00185,0.0006,0.00003
Water,5,0,yes,T5S3BLK,0.001,0.146,0.055,0.215,0.010,7.289,0.004,0.001,0.043,0.000,0.001,0.000,0.630,0.000,0.000,0.003,0.001,0.00010,0.000,0.00030,0.0004,0.00003
Water,5,0,yes,T5S1BLK,0.001,0.140,0.077,0.226,0.010,7.264,0.003,0.001,0.043,0.000,0.001,0.000,0.619,0.000,0.000,0.003,0.001,0.00010,0.001,0.00008,0.0003,0.00003
Water,6,6,yes,T6S6BLK,0.001,0.634,0.344,1.968,0.010,16.151,0.003,0.003,0.043,0.002,0.004,0.013,0.569,0.000,0.001,0.025,0.001,0.00010,0.008,0.00008,0.0020,0.00005
Water,6,8,yes,T6S8BLK,0.001,0.701,0.207,1.372,0.010,11.808,0.003,0.002,0.043,0.009,0.003,0.046,0.603,0.000,0.001,0.015,0.001,0.00010,0.009,0.00008,0.0025,0.00010
Water,6,10,yes,T6S10BLK,0.001,1.273,0.589,3.716,0.032,22.767,0.005,0.005,0.043,0.003,0.005,0.014,0.019,0.000,0.001,0.044,0.001,0.00010,0.013,0.00008,0.0024,0.00010
Water,7,11,yes,T7S11BLK,0.001,1.667,0.165,0.335,0.645,0.066,0.003,0.003,0.043,0.000,0.001,0.022,0.002,0.000,0.001,0.003,0.001,0.00010,0.001,0.00008,0.0004,0.00003
Water,7,13,yes,T7S13BLK,0.001,0.318,0.026,0.265,0.152,0.018,0.002,0.001,0.043,0.000,0.001,0.003,0.002,0.000,0.000,0.000,0.001,0.00010,0.000,0.00008,0.0001,0.00003
Water,7,14,yes,T7S14BLK,0.001,0.280,0.036,0.064,0.070,0.982,0.001,0.000,0.043,0.000,0.000,0.035,0.049,0.000,0.000,0.004,0.001,0.00010,0.000,0.00008,0.0004,0.00003
Water,8,18,yes,T8S18BLK,0.001,0.526,0.021,0.325,0.010,0.018,0.004,0.000,0.043,0.000,0.001,0.001,0.002,0.000,0.000,0.000,0.001,0.00010,0.000,0.00008,0.0001,0.00003
Water,8,19,yes,T8S19BLK,0.001,0.312,0.015,0.315,0.010,0.018,0.002,0.000,0.043,0.000,0.001,0.001,0.002,0.000,0.000,0.000,0.001,0.00010,0.000,0.00008,0.0001,0.00003
Water,8,22,yes,T8S22BLK,0.001,0.318,0.018,0.317,0.010,0.018,0.002,0.000,0.043,0.000,0.001,0.004,0.002,0.000,0.000,0.000,0.001,0.00010,0.001,0.00008,0.0001,0.00003
Water,2,9,no,T2S9,0.001,17.514,13.983,1.986,1.712,36.440,0.005,0.032,0.092,0.004,0.005,0.024,0.572,0.000,0.002,0.138,0.001,0.00010,0.036,0.00010,0.0040,0.00030
Water,3,11,no,T3S11,0.000,27.771,11.934,0.021,3.235,35.838,0.000,0.183,0.080,0.000,0.001,0.001,0.005,0.001,0.001,0.183,0.000,0.00000,0.061,0.00000,0.0001,0.00220
Water,3,12,no,T3S12,0.000,13.158,7.780,0.196,2.416,11.884,0.000,0.042,0.302,0.000,0.001,0.002,0.012,0.001,0.002,0.062,0.000,0.00000,0.013,0.00000,0.0004,0.00020
Water,3,13,no,T3S13,0.000,38.539,31.485,0.016,2.363,46.336,0.000,0.055,0.110,0.000,0.001,0.001,0.006,0.001,0.001,0.305,0.000,0.00000,0.046,0.00000,0.0000,0.00130
Water,3,14,no,T3S14,0.000,14.772,8.609,0.069,2.326,15.044,0.001,0.049,0.245,0.000,0.001,0.003,0.000,0.001,0.002,0.073,0.000,0.00000,0.017,0.00000,0.0004,0.00030
Water,3,15,no,T3S15,0.000,14.653,7.417,0.100,2.485,14.596,0.001,0.020,0.339,0.000,0.001,0.003,0.000,0.001,0.002,0.087,0.000,0.00000,0.014,0.00000,0.0009,0.00040
Water,3,16,no,T3S16,0.000,28.480,10.643,0.075,2.308,43.627,0.001,0.047,0.204,0.000,0.001,0.003,0.000,0.000,0.003,0.152,0.000,0.00000,0.060,0.00000,0.0003,0.00070
Water,4,17,no,T4S17,0.001,13.173,8.159,0.413,2.705,13.902,0.002,0.012,0.176,0.000,0.002,0.004,0.002,0.000,0.002,0.073,0.001,0.00010,0.014,0.00010,0.0007,0.00040
Water,4,18,no,T4S18,0.001,14.457,8.311,0.466,2.801,13.963,0.002,0.009,0.251,0.000,0.002,0.003,0.002,0.000,0.002,0.071,0.001,0.00010,0.016,0.00010,0.0006,0.00030
Water,4,19,no,T4S19,0.001,13.510,8.504,0.103,2.569,14.393,0.000,0.177,0.340,0.000,0.001,0.001,0.002,0.000,0.002,0.076,0.001,0.00010,0.008,0.00010,0.0006,0.00030
Water,4,20,no,T4S20,0.001,15.535,9.112,0.466,2.361,14.063,0.003,0.071,0.336,0.000,0.002,0.004,0.002,0.000,0.002,0.075,0.001,0.00010,0.016,0.00010,0.0007,0.00030
Water,4,21,no,T4S21,0.001,14.167,7.498,0.130,2.358,13.099,0.003,0.019,0.281,0.000,0.002,0.001,0.002,0.000,0.002,0.074,0.001,0.00010,0.018,0.00010,0.0006,0.00030
Water,4,22,no,T4S22,0.001,18.885,9.037,0.475,4.634,21.453,0.002,0.007,0.281,0.000,0.002,0.003,0.002,0.000,0.004,0.078,0.001,0.00010,0.020,0.00010,0.0006,0.00040
